,Date,Open,High,Low,Close,Adj Close,Volume
0,2024-04-09 09:15:00+05:30,2977.699951171875,2977.699951171875,2971.050048828125,2971.050048828125,2971.050048828125,0
1,2024-04-09 09:16:00+05:30,2971.60009765625,2972.10009765625,2969.0,2969.60009765625,2969.60009765625,25970
2,2024-04-09 09:17:00+05:30,2969.050048828125,2970.0,2966.449951171875,2968.0,2968.0,21413
3,2024-04-09 09:18:00+05:30,2967.10009765625,2969.14990234375,2967.0,2967.0,2967.0,25854
4,2024-04-09 09:19:00+05:30,2967.0,2968.35009765625,2966.050048828125,2966.64990234375,2966.64990234375,14262
5,2024-04-09 09:20:00+05:30,2966.0,2966.699951171875,2960.10009765625,2960.10009765625,2960.10009765625,30891
6,2024-04-09 09:21:00+05:30,2960.25,2961.0,2958.0,2959.60009765625,2959.60009765625,26250
7,2024-04-09 09:22:00+05:30,2959.5,2960.14990234375,2956.60009765625,2957.449951171875,2957.449951171875,7847
8,2024-04-09 09:23:00+05:30,2957.39990234375,2959.89990234375,2956.699951171875,2959.89990234375,2959.89990234375,10485
9,2024-04-09 09:24:00+05:30,2959.0,2959.85009765625,2958.0,2959.10009765625,2959.10009765625,9209
10,2024-04-09 09:25:00+05:30,2957.949951171875,2958.0,2957.550048828125,2958.0,2958.0,17332
11,2024-04-09 09:26:00+05:30,2957.550048828125,2959.949951171875,2957.550048828125,2959.0,2959.0,5561
12,2024-04-09 09:27:00+05:30,2958.5,2959.0,2955.050048828125,2955.449951171875,2955.449951171875,12378
13,2024-04-09 09:28:00+05:30,2955.449951171875,2956.25,2955.0,2956.25,2956.25,10093
14,2024-04-09 09:29:00+05:30,2956.25,2958.199951171875,2956.25,2958.0,2958.0,8533
15,2024-04-09 09:30:00+05:30,2958.0,2958.199951171875,2957.0,2958.14990234375,2958.14990234375,8834
16,2024-04-09 09:31:00+05:30,2958.85009765625,2960.699951171875,2958.800048828125,2959.949951171875,2959.949951171875,9913
17,2024-04-09 09:32:00+05:30,2959.85009765625,2960.0,2958.699951171875,2959.949951171875,2959.949951171875,4976
18,2024-04-09 09:33:00+05:30,2959.949951171875,2960.0,2959.85009765625,2959.949951171875,2959.949951171875,5848
19,2024-04-09 09:34:00+05:30,2959.949951171875,2960.0,2958.14990234375,2959.550048828125,2959.550048828125,7036
20,2024-04-09 09:35:00+05:30,2959.64990234375,2960.25,2957.25,2957.89990234375,2957.89990234375,10595
